Kunde;Kundename (SAP-Nr.);;Kundenprojekt;Umgebung;Status Installation;OK;Fehler;VM konfiguriert;Funktionen;ASSM-Ticket;VM-Hostname;VM-IP-Addresse;DB-SID;Erstellt;Erstellt von;Aktualisiert;Aktualisiert von;OUC-ID
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);75400631;Saarbrücken IRIS OASe + Docker;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,DRGW-MDKM Simulation,MDKM LE Portal,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Security,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;sb-lxorbisu-01;10.20.5.100;KHVS;2021.10;Ralf-georg Schein;2025.11;Bernd Tscherner;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);94344418;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS User Provisioning,ORBIS ePA;;io-lxorbisu-01;10.20.5.101;KHVI;2022.02;Daniel Jänke;2025.05;Henrik Schütz;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);94344416;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,DRGW-MDKM Simulation,IRIS Tracing,MDKM LE Portal,ORBIS Touch ID,ORBIS U Allergies,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;vk-lxorbisu-01;10.20.5.103;KHVV;2022.02;Daniel Jänke;2025.06;Henrik Schütz;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);94344414;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,DRGW-MDKM Simulation,MDKM LE Portal,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Schnittstelle Imprivata,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;mzg-lxorbisu-01;10.20.5.102;KHVM;2022.02;Daniel Jänke;2025.10;Jacquelin Schön;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);96182022;Saarbrücken IRIS OASe + Docker;3. Test;Docker-Container installiert;ja;keine Fehler;;DRGW-MDKM Simulation,MDKM LE Portal,ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Security,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;sb-orbisut-01;10.20.5.104;TSTS;2022.04;Daniel Jänke;2025.06;Henrik Schütz;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);96182025;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;DRGW-MDKM Simulation,IRIS Tracing,MDKM LE Portal,ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;vk-orbisut-01;10.20.5.107;TSTV;2022.04;Daniel Jänke;2025.06;Henrik Schütz;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);96182024;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;DRGW-MDKM Simulation,MDKM LE Portal,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Frame Mobile,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Schnittstelle Imprivata,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;mzg-orbisut-01;10.20.5.106;TSTM;2022.04;Daniel Jänke;2025.10;Jacquelin Schön;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);96182023;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS MedCo,ORBIS Touch ID,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS User Provisioning,ORBIS ePA;;io-orbisut-01;10.20.5.105;TSTI;2022.04;Daniel Jänke;2025.05;Henrik Schütz;92148727
1013 Köln (NonAMS);Augustinerinnen Krankenhäuser gGmbH (2002546);125528428;Installation ORBIS U KHV+Test inkl. BELMEL;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS ePA;;augorbisukhv;192.168.16.14;KHV;2023.05;Marcel Hering;2023.10;Adrian Schmidt;92148660
1013 Köln (NonAMS);Augustinerinnen Krankenhäuser gGmbH (2002546);125528429;Installation ORBIS U KHV+Test inkl. BELMEL;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS ePA;;augorbisutest;192.168.16.15;TEST;2023.05;Marcel Hering;2023.10;Adrian Schmidt;92148660
1014 Ansbach (NonAMS);Rangauklinik Ansbach GmbH Zentrale Dienste / Referat IT (2003447);86472820;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS ePA;;rka-orbisu-khv;10.23.100.85;KHV;2021.12;Ralf-georg Schein;2023.06;Marcel Hering;92148663
1014 Ansbach (NonAMS);Rangauklinik Ansbach GmbH Zentrale Dienste / Referat IT (2003447);86472824;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS ePA;;rka-orbisu-test;10.23.100.86;TEST;2021.12;Ralf-georg Schein;2022.04;Ralf-georg Schein;92148663
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);94925783;KHV05 und TEST05 ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflegemaßnahmen,ORBIS U Zugangsmanagement,ORBIS User Provisioning,ORBIS eAU,ORBIS ePA;"<a target=""_blank"" href=""https://agfa.service-now.com/textsearch.do?sysparm_search=INT0081538"">INT0081538</a>";ham-apotid03;10.124.11.222;KHV05;2022.03;Kristin Dölz;2025.04;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);166547624;TEST03;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Assessments,ORBIS U Pflege BAss,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS eAU,ORBIS eAU;;ham-apotid14;10.124.29.8;TESTSA04;2025.05;Henrik Schütz;2025.05;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);162141463;TEST03;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Info4U,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Assessment Konfigurator,ORBIS U PDF Server,ORBIS U Pflege Assessments,ORBIS U Pflege BAss,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS User Provisioning,ORBIS ePA;;ham-apotid13;10.124.29.3;TEST03;2025.02;Henrik Schütz;2025.02;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);144579632;got (KHV02);1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS eAU,ORBIS ePA;;got-apotid01;10.2.38.36;KHV02;2024.04;Henrik Schütz;2025.04;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);127517203;ORBIS U/ OAS Installation KHV03;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Assessments,ORBIS U Pflege BAss,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS eAU,ORBIS ePA;;ham-apotid02;10.124.11.137;EDU04;2023.06;Henrik Schütz;2025.05;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);124604788;ORBIS U/ OAS Installation KHV03;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflegemaßnahmen,ORBIS U Zugangsmanagement,ORBIS User Provisioning,ORBIS eAU,ORBIS ePA;"<a target=""_blank"" href=""https://agfa.service-now.com/textsearch.do?sysparm_search=INT0044754"">INT0044754</a>";ham-apotid07;10.124.11.243;;2022.12;Kristin Dölz;2025.04;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);121882589;KHV01 ORBIS U;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,Diamant Kostenträgerrechnung,ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Assessments,ORBIS U Pflege BAss,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS User Provisioning,ORBIS ePA;;ham-apotid06;10.124.11.236;KHV01;2022.07;Henrik Schütz;2025.04;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);102801120;KHV04 und TEST04 ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Dashboards,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Textbausteine,ORBIS U Wundmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS eAU,ORBIS ePA,ORBIS-IMRE - Implantatregister;;ham-apotid01;10.124.11.155;KHV04;2022.04;Kristin Dölz;2025.12;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);95736575;KHV05 und TEST05 ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS eAU,ORBIS ePA;;ham-apotid04;10.124.11.230;TEST05;2022.03;Kristin Dölz;2025.04;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);159847497;ORBIS U TEST01;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege BAss,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS eAU,ORBIS ePA;;ham-apotid11;10.124.29.1;TEST01;2025.01;Henrik Schütz;2025.05;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);131785637;ORBIS U/ OAS Installation KHV03;3. Test;Docker-Container installiert;ja;keine Fehler;2023.08;ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege BAss,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS eAU,ORBIS ePA;;ham-apotid09;10.124.11.245;TESTSA04;2023.08;Henrik Schütz;2025.05;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);124727431;ORBIS U/ OAS Installation KHV03;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS Befundarbeitsplatz,ORBIS CPOE,ORBIS Info4U,ORBIS Intelligent Text Engine,ORBIS KIM Mail,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Alarm,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U OP Fallwagen Schnittstelle,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Textbausteine,ORBIS U Textbausteine,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS eAU,ORBIS ePA;;ham-apotid08;10.124.11.244;TESTIB04;2023.02;Ulrich Burkert;2025.12;Henrik Schütz;92148738
1111 Hamburg (NonAMS);Asklepios Kliniken GmbH & Co. KGaA (3030669);116596036;KHV04 und TEST04 ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS CPOE,ORBIS Info4U,ORBIS Order Manager,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Alarm,ORBIS U Assessment Konfigurator,ORBIS U CAVE,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U PDF Server,ORBIS U Pflege Care Cycle,ORBIS U Pflegemaßnahmen,ORBIS U Zugangsmanagement,ORBIS User Provisioning,ORBIS eAU,ORBIS ePA;"<a target=""_blank"" href=""https://agfa.service-now.com/textsearch.do?sysparm_search=INT0037280"">INT0037280</a>";ham-apotid05;10.124.11.232;TEST04;2022.06;Kristin Dölz;2025.04;Henrik Schütz;92148738
2002 Eisenberg (NonAMS);Waldkliniken Eisenberg GmbH (3030757);46869286;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;2020.01;DEMIS Arztmeldung,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Klinische Diagnosen und Probleme,ORBIS U Planungsassistent,ORBIS ePA;;orbisukhv;192.168.23.50;KHV;2021.04;os_cmdb;2024.11;Henrik Schütz;92148644
2002 Eisenberg (NonAMS);Waldkliniken Eisenberg GmbH (3030757);96082610;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Klinische Diagnosen und Probleme,ORBIS ePA;;orbisutest;172.16.129.6;TEST;2022.04;Daniel Jänke;2024.11;Henrik Schütz;92148644
2002 Eisenberg (NonAMS);Waldkliniken Eisenberg GmbH (3030757);46869255;ORBIS U Installation;5. Entwicklungs;Docker-Container installiert;ja;keine Fehler;2018.11;DEMIS Arztmeldung,ORBIS U Planungsassistent;;orbisudev;172.16.129.11;DEV;2021.04;os_cmdb;2023.06;Marcel Hering;92148644
2008 Bad Bevensen (NonAMS);HGZ Herz- und Gefäßzentrum Bad Bevensen (3001334);54235263;#D4KHZG Medication Einführung;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Kafka,ORBIS U Krankengeschichte,ORBIS User Provisioning,ORBIS ePA;;hgz-orbis-u;10.10.150.60;KHV;2021.05;Sandra Peters;2026.03;Henrik Schütz;92148780
2008 Bad Bevensen (NonAMS);HGZ Herz- und Gefäßzentrum Bad Bevensen (3001334);92737077;#D4KHZG Medication Einführung;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Kafka,ORBIS U Krankengeschichte,ORBIS User Provisioning,ORBIS ePA;;hgz-orbis-u-test;10.10.150.61;TEST;2022.01;Daniel Jänke;2026.03;Henrik Schütz;92148780
2009 Mönchengladbach (AMS);Städtische Kliniken Mönchengladbach GmbH (2002285);46869271;BÜ ORBIS U KHV + TEST;1. Produktiv;Docker-Container installiert;nein;VM: keine Standardzugänge;2019.02;ORBIS MedCo,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Regeleditor,ORBIS U Wundmanagement,ORBIS ePA,RICO DRG;;orbisu_khv;172.16.14.100;KHV;2021.04;os_cmdb;2025.12;Henrik Schütz;92148603
2009 Mönchengladbach (AMS);Städtische Kliniken Mönchengladbach GmbH (2002285);46869302;BÜ ORBIS U KHV + TEST;3. Test;Docker-Container installiert;ja;keine Fehler;2019.02;ORBIS MedCo,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Regeleditor,ORBIS U Wundmanagement,ORBIS ePA;;orbisu_test;172.23.5.201;TEST;2021.04;os_cmdb;2025.05;Henrik Schütz;92148603
2014 Neuendettelsau (NonAMS);DIAKONEO KdöR Klinik Neuendettelsau (2002280);86472812;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS ePA;;knd-orbisu-khv;10.17.100.85;KHV;2021.12;Ralf-georg Schein;2022.04;Ralf-georg Schein;92148795
2014 Neuendettelsau (NonAMS);DIAKONEO KdöR Klinik Neuendettelsau (2002280);86472816;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS ePA;;knd-orbisu-test;10.17.100.86;TEST;2021.12;Ralf-georg Schein;2022.04;Ralf-georg Schein;92148795
2015 Neuendettelsau (NonAMS);DIAKONEO KdöR / Klinik Hallerwiese Cnopf´sche Kinderklink (3031232);86472804;#D4 KHZG Pflege U/ Medication Einführung;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS ePA;;khc-orbisu-khv;10.19.100.85;KHV;2021.12;Ralf-georg Schein;2025.11;Viktor Rodak;92148778
2015 Neuendettelsau (NonAMS);DIAKONEO KdöR / Klinik Hallerwiese Cnopf´sche Kinderklink (3031232);86472808;#D4 KHZG Pflege U/ Medication Einführung;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS ePA;;khc-orbisu-test;10.19.100.86;TEST;2021.12;Ralf-georg Schein;2025.11;Viktor Rodak;92148778
2021 Hessisch Lichtenau (NonAMS);Orthopädische Klinik Hessisch Lichtenau gGmbH (3010504);87491369;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS ePA;"<a target=""_blank"" href=""https://agfa.service-now.com/textsearch.do?sysparm_search=RITM0556745"">RITM0556745</a>";orbis-u;172.23.2.223;KHV;2021.12;Daniel Jänke;2024.12;Henrik Schütz;92148793
2021 Hessisch Lichtenau (NonAMS);Orthopädische Klinik Hessisch Lichtenau gGmbH (3010504);96092073;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS ePA;;orbis-u-test;172.23.2.224;TEST;2022.04;Daniel Jänke;2024.12;Henrik Schütz;92148793
2024 Westerstede (NonAMS);Ammerland-Klinik GmbH (3009711);46869272;Diamant Einführung;1. Produktiv;Docker-Container installiert;ja;keine Fehler;2019.06;ClamAV,DEMIS Arztmeldung,Diamant Finanzbuchhaltung,ORBIS AddOn - Rettungsdienstanbindung,ORBIS Info4U,ORBIS MedCo,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA,Patient XCare Suite Komplett;;vm-fingerprint;10.128.0.228;KHV;2021.04;os_cmdb;2025.11;Viktor Rodak;92148621
